file_path,title,summary,Category
ICOLD - CFRD New Bulletin 2023/Structural Analysis\ICOLD - CFRD New Bulletin 2023\Structural Analysis\Behaviour of the reinforced concrete face slabs of concrete faced rockfill dams during impounding.pdf,"""Behaviour of the reinforced concrete face slabs of concrete faced rockfill dams during impounding""","The document discusses a study on the cracking of the face slab of a concrete faced rockfill dam (CFRD) during impounding. The study looks at various factors affecting the cracking of the face slab and examines the behavior of rockfill material under different stress conditions. The study uses finite element software to analyze the stress and deformation patterns of the face slab in different stages, including impounding. The study finds that increasing the reinforcement ratio is the most effective way to reduce crack width, but it does not significantly change the extent of cracking. The portion also includes a list of various sources related to the design, construction, and analysis of concrete face rockfill dams.",Structural Analysis
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\geot.2007.57.3.289.pdf,"""Theoretical investigation of the time-dependent behaviour of rockfill""","The document discusses the time-dependent behavior of rockfill, including its compressibility and delayed deformations. It proposes a model based on crack propagation in rock particles induced by stress corrosion mechanisms to explain the observations. The text describes experimental observations and a model of crack propagation in loaded disc-shaped particles to explain particle breakage and its relationship with time. Various constitutive models are proposed, but the document develops a conceptual model that relates delayed deformations to particle breakage. The text also includes technical terms and definitions related to various aspects of rock fill and a list of references related to the study of various aspects of soil and rock mechanics.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023/Dynamic Response\ICOLD - CFRD New Bulletin 2023\Dynamic Response\1-s2.0-S026772611730057X-main.pdf,"""Seismic response of concrete-rockfill combination dam using large-scale shaking table tests""","The document discusses various studies related to dams and their seismic behavior under different ground motions. The studies cover topics such as the use of large-scale shaking table tests to investigate seismic response, dynamic earth pressure, deformation, and slope failure pattern. The results indicate that some aseismatic reinforcement measures should be taken at the top of the slope. The document also provides references to studies related to earth pressure on retaining walls, joint materials, particle breakage, and more.",Dynamic Response
ICOLD - CFRD New Bulletin 2023/Numerical Analysis\ICOLD - CFRD New Bulletin 2023\Numerical Analysis\06743276.pdf,"""Simulation Analysis for Reinforced Concrete Face Rockfill Dam of Tuanjie Reservoir""","The document discusses a simulation analysis of a reinforced concrete face rockfill dam. The dam is analyzed under different calculation cases, and the stress and deformation values are evaluated through finite element analysis. The stress values are mainly compressive and meet the strength requirements, while displacement values are small and meet rigidity requirements. The text includes tables, contour maps, and figures with element division, showing the distribution of stress and displacement values under different cases. Two calculation paths and different design parameters are discussed in the text as well. There is a list of numbers labeled as Path 1 and Path 2, and three cases labeled as Case 2, Case 3, and Case 4, but there is no context provided for their meaning.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023/Dynamic Response\ICOLD - CFRD New Bulletin 2023\Dynamic Response\(ASCE)1090-0241(2004)130_1(103).pdf,"""Nonlinear Seismic Response of Earth Dams with Canyon Interaction""","The document discusses a study on the seismic response of La Villita Dam and the effects of dam-canyon interaction and inelastic deformation of the dam on earthquake response. The study used a dam-canyon model that considered the deformability of the surrounding medium and the effects of spatial variation of seismic excitation. The article describes the nonlinear behavior of the dam material using a two-dimensional shear model based on the multiyield surface plasticity theory and analyzed its behavior during free vibrations. The methodology was applied to the La Villita Dam and compared to results from a linear analysis. The article also discusses the response of a dam to different frequencies of excitation in the frequency domain and the power spectral density and behavior of linear and nonlinear models of a dam at different locations and frequencies. The effects of nonlinearity and dam-canyon interaction are seen at different frequencies, and the shear strains in the dam behave elastically at first but become inelastic later on during excitation. The document concludes with acknowledgments, references, and concluding remarks about a study of the inelastic response of La Villita Dam to the 1985 Mexico earthquake.",Dynamic Response
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GM.1943-5622.0000977.pdf,"""Particle Breakage of Rockfill Materials during Triaxial Tests""","The given document excerpts discuss various studies and tests related to particle breakage in rockfill materials under triaxial testing conditions. The studies investigate the effects of specimen preparation, consolidation, and constricting pressure on particle breakage and analyze the impact of breakage on the dilatancy, friction angle, strength, and permeability of rockfill materials used in dam engineering. The texts also include information on the behavior and deformation of rockfill materials, the limitations and factors affecting particle breakage, and various models and simulations used to analyze and understand the behavior of granular materials.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GT.1943-5606.0001835.pdf,"""In Situ Rockfill Compressibility: Short-Term and Long-Term Evaluation Based on Void Ratio and Parent Rock Strength""","The provided document consists of various portions discussing studies and research related to the compressibility, stress-strain behavior, and time-dependent deformation of rockfill materials used in the construction of dams and embankments. The studies evaluate the influence of several factors such as rock particle strength, void ratio, compaction effort, stress levels, and mineralogy on the mechanical behavior of rockfill during and after construction. Various parameters and equations are presented for calculating post-construction crest settlement and time-dependent compressibility. The document also includes a list of references for further research on the mechanics and behavior of rockfill dams and granular materials.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GT.1943-5606.0001176.pdf,"""Influence of Density and Pressure on Strength and Deformation of Rockfill Material: Large-Scale Triaxial Compression Tests""","The given text includes various portions from different documents, including journal articles and reference lists, related to geotechnical engineering, specifically the behavior of rockfill and sand materials under different conditions of stress and density. The documents discuss different factors affecting the strength and deformation behaviors of the materials, including initial void ratio, initial confining pressure, density, and particle shape. Equations and graphs are provided to illustrate these relationships. The documents also mention various testing devices and loading paths used in different studies, as well as predictive and constitutive models for material behavior. Finally, the documents include reference lists of various research articles related to geotechnical and geoenvironmental engineering, covering topics such as soil mechanics, seismic analysis of dams, and construction techniques for concrete-faced rockfill dams.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023/Numerical Analysis\ICOLD - CFRD New Bulletin 2023\Numerical Analysis\Fu2019_Article_AGeneralizedPlasticityModelFor.pdf,"""Generalized plasticity model for stress-strain and creep behavior of rockfill materials""","The given document discusses the modeling of stress and creep behavior in concrete face rockfill dams (CFRDs) made of rockfill materials. A generalized plasticity model is proposed and verified through experimental data for predicting deformation and stress of dams. The document includes discussions on constitutive equations for plastic strains caused by creep, parameters used in constitutive models, creep-induced plastic flow direction tensors, and stress-induced plastic flow. The text also describes studies conducted on the behavior of rockfill materials, including creep behavior, constitutive modeling, and experimental tests. Finally, there are references to various publications related to geotechnical engineering and earth and rockfill dam engineering.",Numerical Analysis
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GT.1943-5606.0001176.pdf,"""Influences of Density and Pressure on Strength and Deformation of Tacheng Rockfill Material Based on Large-Scale Triaxial Compression Tests""","The long document discusses the behavior of Tacheng rockfill material (TRM) under varying conditions of density and pressure. The study aims to investigate the influence of density and pressure on the strength and deformation indexes of the material. The text describes the specimen preparation and testing procedure for TRM with varying conﬁning pressures and initial void ratios. It also discusses the compaction method for soil samples, the mobilized friction angle of the samples, and the results of various large-scale triaxial compression tests. The text lists academic articles and theses related to geotechnical and civil engineering, constitutive modeling of rockfill materials, properties of rockfill materials, and more.",Rockfill Behavior
ICOLD - CFRD New Bulletin 2023/Rockfill Behavior\ICOLD - CFRD New Bulletin 2023\Rockfill Behavior\(ASCE)GT.1943-5606.0001835.pdf,"""In Situ Rockfill Compressibility as a Function of Void Ratio and Strength of Parent Rock: A Study on Concrete Face Rockfill Dams""","The given text excerpts are related to a research article on the compressibility and deformation behavior of rockfill materials in concrete face rockfill dams (CFRDs). The article discusses various factors that affect the compressibility and time-dependent behavior of rockfill materials, and presents findings from studies and laboratory tests conducted on different CFRDs. The text includes equations, graphs, and tables related to stress-strain, settlement, and crest settlement calculations for rockfill embankments. It also includes references to various studies and reports related to the topic.",Rockfill Behavior
