file_path,title,summary,Category
ICOLD - CFRD New Bulletin 2023\Dam Response\(ASCE)1090-0241(2006)132_6(778).pdf,"""Construction of Concrete-Faced Rockfill Dams with Weak Rocks""","The document discusses the use of weak rocks for the construction of concrete-faced rockfill dams (CFRDs) in China. It includes information on the physical, mechanical, and hydraulic properties of weak rocks, as well as stability and deformation analysis of the dams. The document provides details on tests conducted on weak rocks for dam construction, including permeability and compaction tests. The text also discusses measures taken to prevent crushing and crusting during construction and the importance of selecting the correct type of rock for different zones of the dam.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\(ASCE)GT.1943-5606.0000021.pdf,"""Behavior of Concrete-Faced Rockfill Dams during Initial Impoundment""","The document discusses the behavior of concrete-faced rockfill dams (CFRDs) during initial impoundment and problems with their design and construction. Various experiments, tests, and numerical models are described in detail, which examine the stiffness of the face slab, transition supporting zone stiffness, and its effect on deformation. The benefits of centrifuge modeling are also mentioned. The results of centrifuge tests and numerical simulations are compared with field measurements to improve predictions of CFRD performance. The text includes references, acknowledgments, and a list of related sources.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\(ASCE)GT.1943-5606.0001501.pdf,"""Localizing and Quantifying Leakage through CFRDs: A Technical Note""","The given text discusses a technical note about a method for estimating leakage rates in Concrete Faced Rockfill Dams (CFRDs) through the development of models. The note includes a case study of Buxi CFRD to illustrate the method. It discusses two types of leakage sources, horizontal and vertical, and compares the leakage rates of slender and thin-wall orifices. The text also focuses on the relationship between measured leakage and water level in the Buxi dam, identifying the elevations with significant leakage and the main sources of it. The conclusion shows good agreement between the calculated and measured leakage values.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\Monitoring System.pdf,"""Development and In Situ Application of Deformation Monitoring System for Concrete-Face Rockfill Dam Using Fiber Optic Gyroscope""","The article discusses the development and implementation of a fiber optic gyroscope (FOG) monitoring system for concrete-face rockfill dams (CFRDs) to monitor deformation of the face slab. Traditional instruments have limitations, and advanced techniques have been developed for deformation change detection. The FOG system consists of a sensing vehicle that moves along a monitoring pipeline, and the data collected is used to calculate deformation using angular velocity. The system has been tested on the Shuibuya dam with good results. The text also describes the behavior of a reservoir dam and the deformation of its face slab as the water level increases. Various in situ tests on the system are discussed, and their results show that the FOG system is effective for monitoring the deformation of the dam, and can form a permanent monitoring channel for its safe operation.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\feng.2011.164.1.33.pdf,Investigation of Dam Incidents and Failures.,"The document discusses the importance of investigating dam failures and incidents to improve dam safety. It mentions various incidents and failures that have occurred around the world, and lists the common causes of such incidents. The text also emphasizes the value of monitoring, maintenance, and proper investigation techniques, and stresses the need for adequate information to reach reliable conclusions. The document also highlights the importance of learning from historical dam failures to improve dam safety. There is also a discussion of incident reporting regulations and the development of databases to track dam performance. Finally, the article mentions various sources and references related to dam safety.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\jdare.17.00011.pdf,"""Dams and Reservoirs: The 2016 Geoffrey Binnie Lecture: Dam Engineering – the last 50 years, the next 50 years""","The text is a review of the history of dam engineering and how it has evolved in the last 50 years. It includes discussions about advances and challenges in hydrology, dam design, and construction, including the use of computational fluid dynamics and roller-compacted concrete. The author emphasizes the importance of monitoring and predicting dam failure and the need for flexibility in standardization. The article concludes with a call for greater imagination and innovation in the future design of dams.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\jgeen.17.00142.pdf,"""A statistical analysis on concrete cut-off wall behaviour""","The document discusses various studies and research related to the behavior, design, and construction of concrete cut-off walls used in dams for seepage control. It includes a statistical analysis of 43 case histories and factors affecting wall behavior, such as material, foundation deformation characteristics, and wall location. The text also discusses potential problems associated with cut-off wall construction and provides a list of relevant studies and publications.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\jgeot.17.p.095.pdf,"""A statistical review of the behaviour of concrete-face rockfill dams based on case histories""","The given text excerpts discuss various aspects of the behavior, design, construction, and analysis of concrete-faced rockfill dams (CFRDs), including deformation behavior, stress observations, cracking and separation of face slabs, seepage control, and factors influencing stability. The texts also provide data, statistics, empirical relationships, and references related to estimating deformation and seepage behavior of CFRDs. There is a random sequence of characters and a mention of copyright laws in some of the texts.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dam Response\sdar.64119.381.pdf,"Sorry, the paper you provided is not related to Pepper, so I cannot provide a title. Please provide the correct information or any additional context.","The text describes the design and construction of a concrete face rockfill dam in Peru as part of an irrigation project. The dam is founded on both volcanic and sedimentary rocks and granular alluvial soils overlying rockhead. The construction methodology used modern techniques and instrumentation, and the rockfill material was placed in layers and monitored for compaction and performance. The text also mentions a hydroelectric power plant project in Equatorial Guinea and a risk-based approach for assessing flood discharge values.",Dam Response
ICOLD - CFRD New Bulletin 2023\Dynamic Response\(ASCE)0733-9410(1995)121_2(185).pdf,Dynamic Response of Concrete-Faced Rockfill Dams to Strong Seismic Excitation.,"The given document discusses various studies related to the seismic response and design of concrete-faced rockfill (CFR) dams. The articles cover topics such as the importance of compacted rockfill, low permeability zones, and the design and construction of the face slab. Studies conducted on the seismic response of CFR dams indicate that while the overall integrity of the dam may not be in danger, face slabs can experience severe cracking and failure. The use of finite-element analyses and equivalent-linear viscoelastic analyses are discussed in detail. The document also includes a reference list for further reading on the topic.",Dynamic Response
